"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"3176",60,15,85,60,70,60,3,55,14,0,0,0,0,0,2,22,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3177",0,50,1,0,0,50,5,25,14,0,0,0,0,0,2,26,1,2,0,60,6,1,1,2,2,5,2,6,2,6,3,5,2,6,2
"3178",2,100,31,60,50,60,5,62,15,0,0,0,0,0,1,27,1,2,15,100,5,1,2,2,2,6,5,2,3,5,5,6,2,6,3
"3179",60,0,60,60,60,40,2,60,13,1,0,0,0,0,2,22,1,1,60,0,3,1,2,2,1,1,5,5,6,6,1,6,4,2,2
"3180",70,0,85,85,70,70,4,53,9,0,0,0,0,0,2,1,0,-1,15,15,3,2,2,1,2,6,1,6,3,5,-9,7,1,6,1
"3181",85,50,70,85,85,85,1,67,9,0,0,0,0,0,2,1,-1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"3182",0,70,0,2,0,10,5,49,9,0,0,0,0,0,1,20,1,2,0,85,3,2,2,2,2,5,3,6,3,6,5,5,3,6,1
"3183",74,0,100,88,100,0,1,34,9,1,0,0,0,0,2,22,1,1,61,0,1,2,2,2,1,6,3,7,2,6,2,7,2,6,1
"3184",60,15,98,82,86,41,4,42,90,1,0,0,0,1,2,2,0,-1,100,0,4,2,1,1,2,6,2,1,5,6,3,1,1,4,7
"3185",85,0,100,85,70,15,1,37,13,1,0,0,0,0,2,23,1,1,72,0,2,1,1,2,1,7,6,7,3,6,5,6,2,6,2
"3186",1,70,1,59,15,51,6,54,13,0,0,0,0,0,2,18,1,2,2,60,4,2,1,1,1,1,4,7,6,6,7,6,2,5,2
"3187",51,1,70,60,59,50,2,29,13,0,0,0,0,0,1,23,1,1,61,2,3,1,1,2,1,4,5,6,6,6,5,6,4,5,2
"3188",0,60,0,0,0,60,5,70,11,0,1,0,0,0,1,9,1,2,0,100,6,2,2,1,1,4,4,4,4,4,4,4,1,7,1
"3189",85,5,95,75,70,25,4,20,10,0,0,1,0,0,1,28,1,1,70,8,3,1,1,2,1,3,1,4,4,6,4,4,4,4,2
